,total_bill,tip,sex,smoker,day,time,size,tip_percentage
0,16.99,1.01,Female,No,Sun,Dinner,2,0.05944673337257211
3,23.68,3.31,Male,No,Sun,Dinner,2,0.1397804054054054
6,8.77,2.0,Male,No,Sun,Dinner,2,0.22805017103762829
8,15.04,1.96,Male,No,Sun,Dinner,2,0.13031914893617022
9,14.78,3.23,Male,No,Sun,Dinner,2,0.2185385656292287
10,10.27,1.71,Male,No,Sun,Dinner,2,0.1665043816942551
12,15.42,1.57,Male,No,Sun,Dinner,2,0.10181582360570687
14,14.83,3.02,Female,No,Sun,Dinner,2,0.20364126770060686
15,21.58,3.92,Male,No,Sun,Dinner,2,0.18164967562557924
20,17.92,4.08,Male,No,Sat,Dinner,2,0.22767857142857142
21,20.29,2.75,Female,No,Sat,Dinner,2,0.13553474618038444
22,15.77,2.23,Female,No,Sat,Dinner,2,0.14140773620798985
24,19.82,3.18,Male,No,Sat,Dinner,2,0.16044399596367306
26,13.37,2.0,Male,No,Sat,Dinner,2,0.14958863126402394
27,12.69,2.0,Male,No,Sat,Dinner,2,0.15760441292356187
28,21.7,4.3,Male,No,Sat,Dinner,2,0.19815668202764977
29,19.65,3.0,Female,No,Sat,Dinner,2,0.15267175572519084
30,9.55,1.45,Male,No,Sat,Dinner,2,0.1518324607329843
32,15.06,3.0,Female,No,Sat,Dinner,2,0.199203187250996
34,17.78,3.27,Male,No,Sat,Dinner,2,0.1839145106861642
41,17.46,2.54,Male,No,Sun,Dinner,2,0.14547537227949597
42,13.94,3.06,Male,No,Sun,Dinner,2,0.21951219512195122
43,9.68,1.32,Male,No,Sun,Dinner,2,0.13636363636363638
45,18.29,3.0,Male,No,Sun,Dinner,2,0.16402405686167304
46,22.23,5.0,Male,No,Sun,Dinner,2,0.22492127755285649
49,18.04,3.0,Male,No,Sun,Dinner,2,0.16629711751662973
50,12.54,2.5,Male,No,Sun,Dinner,2,0.19936204146730463
51,10.29,2.6,Female,No,Sun,Dinner,2,0.2526724975704568
53,9.94,1.56,Male,No,Sun,Dinner,2,0.15694164989939638
55,19.49,3.51,Male,No,Sun,Dinner,2,0.18009235505387378
57,26.41,1.5,Female,No,Sat,Dinner,2,0.05679666792881484
58,11.24,1.76,Male,Yes,Sat,Dinner,2,0.15658362989323843
60,20.29,3.21,Male,Yes,Sat,Dinner,2,0.1582060128141942
61,13.81,2.0,Male,Yes,Sat,Dinner,2,0.1448225923244026
62,11.02,1.98,Male,Yes,Sat,Dinner,2,0.17967332123411978
66,16.45,2.47,Female,No,Sat,Dinner,2,0.1501519756838906
68,20.23,2.01,Male,No,Sat,Dinner,2,0.09935739001482945
69,15.01,2.09,Male,Yes,Sat,Dinner,2,0.13924050632911392
70,12.02,1.97,Male,No,Sat,Dinner,2,0.1638935108153078
72,26.86,3.14,Female,Yes,Sat,Dinner,2,0.11690245718540582
73,25.28,5.0,Female,Yes,Sat,Dinner,2,0.19778481012658228
74,14.73,2.2,Female,No,Sat,Dinner,2,0.14935505770536323
75,10.51,1.25,Male,No,Sat,Dinner,2,0.11893434823977164
76,17.92,3.08,Male,Yes,Sat,Dinner,2,0.171875
90,28.97,3.0,Male,Yes,Fri,Dinner,2,0.10355540214014498
91,22.49,3.5,Male,No,Fri,Dinner,2,0.15562472209871056
92,5.75,1.0,Female,Yes,Fri,Dinner,2,0.17391304347826086
93,16.32,4.3,Female,Yes,Fri,Dinner,2,0.26348039215686275
94,22.75,3.25,Female,No,Fri,Dinner,2,0.14285714285714285
96,27.28,4.0,Male,Yes,Fri,Dinner,2,0.14662756598240467
97,12.03,1.5,Male,Yes,Fri,Dinner,2,0.12468827930174564
98,21.01,3.0,Male,Yes,Fri,Dinner,2,0.1427891480247501
99,12.46,1.5,Male,No,Fri,Dinner,2,0.1203852327447833
100,11.35,2.5,Female,Yes,Fri,Dinner,2,0.22026431718061676
101,15.38,3.0,Female,Yes,Fri,Dinner,2,0.19505851755526657
103,22.42,3.48,Female,Yes,Sat,Dinner,2,0.15521855486173058
104,20.92,4.08,Female,No,Sat,Dinner,2,0.1950286806883365
105,15.36,1.64,Male,Yes,Sat,Dinner,2,0.10677083333333333
106,20.49,4.06,Male,Yes,Sat,Dinner,2,0.19814543679843827
107,25.21,4.29,Male,Yes,Sat,Dinner,2,0.1701705672352241
108,18.24,3.76,Male,No,Sat,Dinner,2,0.20614035087719298
109,14.31,4.0,Female,Yes,Sat,Dinner,2,0.2795248078266946
110,14.0,3.0,Male,No,Sat,Dinner,2,0.21428571428571427
113,23.95,2.55,Male,No,Sun,Dinner,2,0.10647181628392484
115,17.31,3.5,Female,No,Sun,Dinner,2,0.20219526285384173
150,14.07,2.5,Male,No,Sun,Dinner,2,0.17768301350390903
151,13.13,2.0,Male,No,Sun,Dinner,2,0.15232292460015232
158,13.39,2.61,Female,No,Sun,Dinner,2,0.19492158327109782
161,12.66,2.5,Male,No,Sun,Dinner,2,0.19747235387045814
163,13.81,2.0,Male,No,Sun,Dinner,2,0.1448225923244026
164,17.51,3.0,Female,Yes,Sun,Dinner,2,0.17133066818960593
166,20.76,2.24,Male,No,Sun,Dinner,2,0.10789980732177264
168,10.59,1.61,Female,Yes,Sat,Dinner,2,0.15203021718602455
169,10.63,2.0,Female,Yes,Sat,Dinner,2,0.18814675446848542
171,15.81,3.16,Male,Yes,Sat,Dinner,2,0.19987349778621127
172,7.25,5.15,Male,Yes,Sun,Dinner,2,0.710344827586207
173,31.85,3.18,Male,Yes,Sun,Dinner,2,0.09984301412872841
174,16.82,4.0,Male,Yes,Sun,Dinner,2,0.23781212841854935
175,32.9,3.11,Male,Yes,Sun,Dinner,2,0.0945288753799392
176,17.89,2.0,Male,Yes,Sun,Dinner,2,0.11179429849077696
177,14.48,2.0,Male,Yes,Sun,Dinner,2,0.13812154696132597
178,9.6,4.0,Female,Yes,Sun,Dinner,2,0.4166666666666667
179,34.63,3.55,Male,Yes,Sun,Dinner,2,0.102512272596015
181,23.33,5.65,Male,Yes,Sun,Dinner,2,0.2421774539219889
184,40.55,3.0,Male,Yes,Sun,Dinner,2,0.07398273736128237
190,15.69,1.5,Male,Yes,Sun,Dinner,2,0.09560229445506692
208,24.27,2.03,Male,Yes,Sat,Dinner,2,0.08364235681911825
209,12.76,2.23,Female,Yes,Sat,Dinner,2,0.17476489028213166
213,13.27,2.5,Female,Yes,Sat,Dinner,2,0.18839487565938207
215,12.9,1.1,Female,Yes,Sat,Dinner,2,0.08527131782945736
217,11.59,1.5,Male,Yes,Sat,Dinner,2,0.12942191544434858
218,7.74,1.44,Male,Yes,Sat,Dinner,2,0.18604651162790697
228,13.28,2.72,Male,No,Sat,Dinner,2,0.20481927710843376
229,22.12,2.88,Female,Yes,Sat,Dinner,2,0.13019891500904157
232,11.61,3.39,Male,No,Sat,Dinner,2,0.29198966408268734
233,10.77,1.47,Male,No,Sat,Dinner,2,0.13649025069637882
234,15.53,3.0,Male,Yes,Sat,Dinner,2,0.19317450096587252
235,10.07,1.25,Male,No,Sat,Dinner,2,0.12413108242303872
236,12.6,1.0,Male,Yes,Sat,Dinner,2,0.07936507936507936
237,32.83,1.17,Male,Yes,Sat,Dinner,2,0.03563813585135547
240,27.18,2.0,Female,Yes,Sat,Dinner,2,0.07358351729212656
241,22.67,2.0,Male,Yes,Sat,Dinner,2,0.08822232024702249
242,17.82,1.75,Male,No,Sat,Dinner,2,0.09820426487093153
243,18.78,3.0,Female,No,Thur,Dinner,2,0.1597444089456869
